Year,County,% Food Insecure,Population,# Uninsured,# Uninsured.1,Homicide Rate
2019,sullivan,11.0,75485.0,3547.0,597.0,3.0
2019,tioga,9.5,48578.0,1641.0,255.0,
2019,tompkins,13.5,104802.0,3929.0,587.0,
2019,ulster,9.9,179417.0,8123.0,1037.0,1.7
2019,warren,10.2,64532.0,2305.0,354.0,2.2
2019,washington,10.6,61620.0,2367.0,302.0,2.7
2019,wayne,9.8,90670.0,3475.0,572.0,1.9
2019,westchester,7.7,980244.0,54951.0,7037.0,2.2
2019,wyoming,10.4,40493.0,1422.0,231.0,
2019,yates,10.1,24955.0,1408.0,428.0,
2018,albany,13.0,308846.0,12312.0,1372.0,2.6554027897
2018,allegany,12.6,47077.0,1901.0,291.0,
2018,broome,13.8,195334.0,8700.0,1237.0,2.9614113653
2018,cattaraugus,13.3,77677.0,4080.0,667.0,
2018,cayuga,11.5,77861.0,3647.0,503.0,
2018,chautauqua,12.7,129504.0,6021.0,809.0,2.1546430403
2018,chemung,13.2,86322.0,3053.0,446.0,2.2718052738
2018,chenango,11.8,48579.0,2226.0,337.0,
2018,clinton,13.1,81073.0,3871.0,444.0,1.9255208534
2018,columbia,10.3,60989.0,3028.0,426.0,
2018,cortland,12.7,48070.0,1731.0,255.0,
2018,delaware,12.1,45523.0,2203.0,281.0,
2018,dutchess,9.4,294473.0,13077.0,1694.0,2.3597047191
2018,erie,13.5,921046.0,36685.0,4392.0,6.0380483972
2018,essex,11.0,38102.0,1746.0,222.0,
2018,franklin,13.9,50409.0,2548.0,403.0,
2018,fulton,13.1,53828.0,2595.0,351.0,
2018,genesee,11.2,58482.0,2422.0,368.0,
2018,greene,11.2,47508.0,2165.0,305.0,
2018,hamilton,10.8,4542.0,223.0,36.0,
2018,herkimer,12.4,62613.0,2829.0,439.0,
2018,jefferson,14.0,114006.0,5537.0,870.0,2.061483128
2018,lewis,11.6,26865.0,1340.0,257.0,
2018,livingston,11.6,64257.0,2514.0,312.0,
2018,madison,11.1,71329.0,2760.0,396.0,
2018,monroe,13.2,747727.0,30281.0,4075.0,5.8457501396
2018,montgomery,12.6,49276.0,2690.0,346.0,
2018,nassau,6.0,1361500.0,66571.0,7771.0,2.0175721023
